,HR_mean,HRV_RMSSD,HRV_MeanNN,HRV_LFHF,RSP_mean,RRV_RMSSD,RRV_MeanBB,label,ID
0,0.0,1.0,1.0,0.224037126,0.619059597,0.635686713,0.263531221,1,4
1,0.11527304,0.187133845,0.86779902,0.25649792,0.755370855,0.134213723,0.212412298,1,4
2,0.048015512,0.344207995,0.94532855,0.075006702,0.247843665,0.107245483,0.663463468,1,4
3,0.056034639,0.389606956,0.934639349,0.0,0.0,0.063392696,1.0,1,4
4,0.105910628,0.117033601,0.879118081,0.067152942,0.400969473,0.0,0.48011819,1,4
5,1.0,0.015071841,0.0,1.0,0.263218935,1.0,0.786757989,0,4
6,0.879959888,0.0,0.105379462,0.519556822,1.0,0.781781219,0.0,0,4
7,0.138444583,0.867279881,0.818030448,0.0,0.42261807,0.189265335,0.334055019,1,5
8,0.0,1.0,1.0,1.0,0.030150613,0.000679533,0.94679811,1,5
9,0.139430453,0.691291361,0.817490488,0.986548122,0.0,0.05443113,1.0,1,5
10,0.225159455,0.535125591,0.712540306,0.118455011,0.20139345,0.199259291,0.600696594,1,5
11,0.292766925,0.389987275,0.635089083,0.111509044,0.542095264,0.0,0.226121508,1,5
12,0.558273503,0.0,0.364199238,0.236705755,0.622501614,1.0,0.243695617,0,5
13,1.0,0.022071623,0.0,0.45426562,1.0,0.283980868,0.0,0,5
14,0.224032714,0.0,0.72406152,0.427194312,0.290620581,0.0,0.555881504,1,7
15,0.070878967,0.061385673,0.908659597,0.309529109,0.120823854,0.155192076,0.862181837,1,7
16,0.079198057,0.437827138,0.895894573,0.0,0.0,0.100363659,1.0,1,7
17,0.123675778,0.284232547,0.843068797,1.0,0.21162984,0.098140926,0.666359088,1,7
18,0.114678333,0.45608067,0.854033748,0.374084156,0.262342189,0.067229738,0.629189038,1,7
19,0.0,1.0,1.0,0.415502416,0.220028551,0.656099713,0.993402322,0,7
20,1.0,0.825069491,0.0,0.160013112,1.0,1.0,0.0,0,7
21,0.0,0.273387256,1.0,0.126336341,0.795800467,0.452718931,0.164094021,1,6
22,0.089407741,0.774866774,0.887251613,0.062905186,0.995613144,0.042213895,0.017409568,1,6
23,0.074771561,0.579662514,0.905838449,0.095289556,1.0,0.0,0.0,1,6
24,0.055817483,0.0,0.928066884,0.07225391,0.70207872,0.395015826,0.223394689,1,6
25,0.115179684,0.60519211,0.855528065,0.0,0.817645921,0.023380033,0.124090659,1,6
26,0.327544481,0.977066577,0.615785839,0.164178501,0.0,1.0,1.0,0,6
27,1.0,1.0,0.0,1.0,0.21659386,0.951353839,0.733578371,0,6
28,0.0,0.256175232,1.0,0.284635418,0.980992204,0.0,0.0,1,2
29,0.225398136,0.466666393,0.740218771,0.484232426,0.711556247,0.356006818,0.226459793,1,2
30,0.222302576,0.609891538,0.744924578,0.304722243,0.358338441,0.428151218,0.479838899,1,2
31,0.458738214,0.29362824,0.494812262,0.0,0.0,0.293617536,1.0,1,2
32,0.363938292,0.0,0.589151364,0.384668074,0.325644341,0.196365225,0.535787025,1,2
33,1.0,0.593754687,0.0,0.454839184,0.977346479,1.0,0.1607883,0,2
34,0.535911951,1.0,0.337690626,1.0,1.0,0.734772548,0.064253026,0,2
35,0.0,0.640061077,1.0,0.0,1.0,0.126451143,0.0,1,3
36,0.095216572,0.0,0.939713777,0.068483031,0.818112576,0.257566667,0.097993657,1,3
37,0.116948797,0.056743629,0.916634376,0.095318208,0.922586495,0.0,0.040166332,1,3
38,0.119969401,1.0,0.912886527,0.475924713,0.201150135,0.147647239,0.562372754,1,3
39,0.157366005,0.703810953,0.872657135,0.222841564,0.0,1.0,1.0,1,3
40,1.0,0.526792367,0.0,1.0,0.982817506,0.504961603,0.046363145,0,3
41,0.650427353,0.214423121,0.361661373,0.349377636,0.808428024,0.54446033,0.108076121,0,3
42,0.716122601,0.0,0.263473822,0.0,1.0,0.0,0.0,1,1
43,0.430660519,0.287563734,0.542889154,0.949581542,0.639266592,0.267786652,0.231437479,1,1
44,0.179901906,1.0,0.821094343,0.043988076,0.022922874,0.476721808,1.0,1,1
45,0.0,0.588701315,1.0,1.0,0.0,0.013847946,0.898140319,1,1
46,0.190491584,0.35590105,0.794336619,0.225257169,0.22728705,0.524173837,0.605128132,1,1
47,0.871740172,0.156520808,0.11360095,0.164981614,0.687132176,1.0,0.223440335,0,1
48,1.0,0.15429566,0.0,0.504973046,0.681678405,0.540772995,0.244269219,0,1
49,0.0,1.0,1.0,0.0,0.497708364,0.448930958,0.174226112,1,22
50,0.235058568,0.762195217,0.734409849,0.084676388,0.551074053,0.163566356,0.138091041,1,22
51,0.406951315,0.886486077,0.551940323,1.0,0.0,0.0,1.0,1,22
52,0.172985712,0.59775251,0.801414805,0.831433607,0.015837362,1.0,0.937358601,1,22
53,0.237814564,0.79899021,0.729595903,0.895298287,0.290677681,0.555620489,0.341963338,1,22
54,0.958685799,0.010573474,0.034334461,0.458018211,1.0,0.251204382,0.0,0,22
55,1.0,0.0,0.0,0.138367632,0.802397342,0.992584433,0.057872778,0,22
56,0.455400103,0.338440112,0.50124062,0.329668509,0.888151208,0.475967162,0.030611536,0,22
57,0.087598592,0.553499433,0.897942522,0.0,0.581664209,0.0,0.151915363,1,23
58,0.055564287,0.474092502,0.944564547,0.146157898,0.49638766,0.142127339,0.221668978,1,23
59,0.022017619,0.875783475,0.990614355,0.792559228,0.116690486,0.501013154,0.682000321,1,23
60,0.0,1.0,1.0,1.0,0.0,0.865450925,1.0,1,23
61,0.040067201,0.576417965,0.965628686,0.91009575,0.352555971,0.548862518,0.339236982,1,23
62,0.770458001,0.0,0.174335664,0.145541772,1.0,0.319788354,0.0,0,23
63,1.0,0.056731308,0.0,0.877683284,0.820249831,1.0,0.072885649,0,23
64,0.315827698,0.260151289,0.655622228,0.339925983,0.776342235,0.023848854,0.122316057,1,21
65,0.368702222,0.402970072,0.60683762,0.381879957,0.56761992,0.394367357,0.25300721,1,21
66,0.00619887,1.0,0.994259126,0.396684517,0.020774389,0.624726623,0.927306263,1,21
67,0.0,0.343813774,1.0,0.229895688,0.398246662,0.216145932,0.383824421,1,21
68,0.06744498,0.710465641,0.916143101,0.0,0.0,1.0,1.0,1,21
69,0.853611312,0.0,0.134811276,0.866075838,1.0,0.0,0.0,0,21
70,1.0,0.394518878,0.0,1.0,0.651549898,0.388407294,0.208139137,0,21
