,Accuracy,Precision,Recall,F1-Score,Participant
0,0.8,0.8,0.8,0.8000000000000002,4
1,1.0,1.0,1.0,1.0,5
2,0.6,0.6,0.6,0.6,6
3,0.7,0.6666666666666666,0.8,0.7272727272727272,7
4,0.4,0.4,0.4,0.4000000000000001,8
5,0.5,0.5,0.6,0.5454545454545454,9
6,0.9,1.0,0.8,0.888888888888889,11
7,0.6,0.6,0.6,0.6,12
8,0.875,0.75,1.0,0.8571428571428571,13
9,0.5,0.5,0.6,0.5454545454545454,16
10,0.8888888888888888,1.0,0.8,0.888888888888889,19
11,0.7,0.75,0.6,0.6666666666666665,20
12,0.9,1.0,0.8,0.888888888888889,21
13,0.9,1.0,0.8,0.888888888888889,22
14,0.8,0.8,0.8,0.8000000000000002,23
15,1.0,1.0,1.0,1.0,24
16,0.7777777777777778,1.0,0.6,0.7499999999999999,26
17,0.8,0.7142857142857143,1.0,0.8333333333333333,27
18,1.0,1.0,1.0,1.0,28
19,0.6,0.6,0.6,0.6,29
20,0.1111111111111111,0.2,0.2,0.20000000000000004,30
21,0.7,0.6666666666666666,0.8,0.7272727272727272,31
22,1.0,1.0,1.0,1.0,32
23,0.8,0.8,0.8,0.8000000000000002,33
24,0.7777777777777778,1.0,0.5,0.6666666666666666,34
25,1.0,1.0,1.0,1.0,35
