,Accuracy,Precision,Recall,F1-Score,Participant
0,0.625,0.5,0.6666666666666666,0.5714285714285715,4.0
1,0.875,1.0,0.75,0.8571428571428571,5.0
2,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,6.0
3,0.75,0.6666666666666666,1.0,0.8,7.0
4,0.875,1.0,0.75,0.8571428571428571,8.0
5,0.625,0.5,0.6666666666666666,0.5714285714285715,9.0
6,0.625,1.0,0.4,0.5714285714285715,11.0
7,0.625,0.6,0.75,0.6666666666666665,12.0
8,1.0,1.0,1.0,1.0,13.0
9,0.5,0.6,0.6,0.6,16.0
10,0.8571428571428571,1.0,0.8,0.888888888888889,19.0
11,0.75,0.6666666666666666,1.0,0.8,20.0
12,0.875,1.0,0.75,0.8571428571428571,21.0
13,0.875,0.8,1.0,0.888888888888889,22.0
14,0.875,1.0,0.75,0.8571428571428571,23.0
15,0.8571428571428571,0.75,1.0,0.8571428571428571,24.0
16,1.0,1.0,1.0,1.0,26.0
17,0.875,0.75,1.0,0.8571428571428571,27.0
18,1.0,1.0,1.0,1.0,28.0
19,0.5,0.6,0.6,0.6,29.0
20,0.42857142857142855,0.5,0.5,0.5,30.0
21,0.5,0.5,0.5,0.5,31.0
22,0.875,0.8,1.0,0.888888888888889,32.0
23,0.875,1.0,0.75,0.8571428571428571,33.0
24,0.7142857142857143,0.75,0.75,0.75,34.0
25,0.875,1.0,0.75,0.8571428571428571,35.0
